"LOINC_NUM","LOINC_LONG_COMMON_NAME","IEEE_CF_CODE10","IEEE_REFID","EQUIVALENCE"
"11556-8","Oxygen [Partial pressure] in Blood","160116","MDC_CONC_PO2_GEN","equivalent"
"11557-6","Carbon dioxide [Partial pressure] in Blood","160064","MDC_CONC_PCO2_GEN","equivalent"
"11558-4","pH of Blood","160004","MDC_CONC_PH_GEN","equivalent"
"12961-9","Urea nitrogen [Mass/volume] in Arterial blood","160080","MDC_CONC_UREA_ART","equivalent"
"14749-6","Glucose [Moles/volume] in Serum or Plasma","160196","MDC_CONC_GLU_VENOUS_PLASMA","broader"
"14749-6","Glucose [Moles/volume] in Serum or Plasma","160368","MDC_CONC_GLU_UNDETERMINED_PLASMA","broader"
"15074-8","Glucose [Moles/volume] in Blood","160020","MDC_CONC_GLU_GEN","broader"
"15074-8","Glucose [Moles/volume] in Blood","160364","MDC_CONC_GLU_UNDETERMINED_WHOLEBLOOD","broader"
"15076-3","Glucose [Moles/volume] in Urine","159860","MDC_CONC_GLU_URINE","broader"
"17861-6","Calcium [Mass/volume] in Serum or Plasma","160024","MDC_CONC_CA_GEN","broader"
"19153-6","Volume in Urine collected for unspecified duration","157744","MDC_VOL_URINE_COL","equivalent"
"1925-7","Base excess in Arterial blood by calculation","160252","MDC_BASE_EXCESS_BLD_ART","equivalent"
"1959-6","Bicarbonate [Moles/volume] in Blood","160008","MDC_CONC_HCO3_GEN","equivalent"
"1960-4","Bicarbonate [Moles/volume] in Arterial blood","159760","MDC_CONC_HCO3_ART","equivalent"
"19834-1","Breath rate setting Ventilator","16928802","MDC_VENT_RESP_RATE_SETTING","equivalent"
"19867-1","Vital capacity [Volume] Respiratory system","151680","MDC_CAPAC_VITAL","equivalent"
"19924-0","Expiratory reserve","189004","MDC_VOL_AWAY_EXP_RESERVE","equivalent"
"19925-7","FEV1/FVC Predicted","33743380","MDC_RATIO_AWAY_EXP_FORCED_1S_FVC_PRED","equivalent"
"19926-5","FEV1/FVC","188948","MDC_RATIO_AWAY_EXP_FORCED_1S_FVC","equivalent"
"19930-7","Gas flow Respiratory system airway","151764","MDC_FLOW_AWAY","equivalent"
"19974-5","Inspiration/Expiration setting Ventilator","16929048","MDC_RATIO_IE_SETTING","equivalent"
"19991-9","Alveolar-arterial oxygen Partial pressure difference","150336","MDC_SAT_DIFF_O2_ART_ALV","equivalent"
"2000-8","Calcium [Moles/volume] in Serum or Plasma","160024","MDC_CONC_CA_GEN","broader"
"20053-5","Atmospheric pressure","152832","MDC_PRESS_BAROMETRIC","equivalent"
"20077-4","Positive end expiratory pressure setting Ventilator","16929020","MDC_PRESS_AWAY_END_EXP_POS_SETTING","equivalent"
"20077-4","Positive end expiratory pressure setting Ventilator","16929192","MDC_VENT_PRESS_AWAY_END_EXP_POS_SETTING","equivalent"
"20112-9","Tidal volume setting Ventilator","16929196","MDC_VENT_VOL_TIDAL_SETTING","equivalent"
"20124-4","Ventilation mode Ventilator","184352","MDC_VENT_MODE","equivalent"
"20150-9","FEV1","152586","MDC_VOL_AWAY_EXP_FORCED_1S","equivalent"
"2019-8","Carbon dioxide [Partial pressure] in Arterial blood","159752","MDC_CONC_PCO2_ART","equivalent"
"2021-4","Carbon dioxide [Partial pressure] in Venous blood","159800","MDC_CONC_PCO2_VEN","equivalent"
"20562-5","Left ventricular Stroke volume","150404","MDC_VOL_BLD_STROKE","equivalent"
"20570-8","Hematocrit [Volume Fraction] of Blood","160132","MDC_CONC_HCT_GEN","equivalent"
"2075-0","Chloride [Moles/volume] in Serum or Plasma","160104","MDC_CONC_CHLOR_GEN","equivalent"
"2339-0","Glucose [Mass/volume] in Blood","160020","MDC_CONC_GLU_GEN","broader"
"2339-0","Glucose [Mass/volume] in Blood","160364","MDC_CONC_GLU_UNDETERMINED_WHOLEBLOOD","broader"
"2345-7","Glucose [Mass/volume] in Serum or Plasma","160368","MDC_CONC_GLU_UNDETERMINED_PLASMA","broader"
"2350-7","Glucose [Mass/volume] in Urine","159860","MDC_CONC_GLU_URINE","broader"
"2703-7","Oxygen [Partial pressure] in Arterial blood","159756","MDC_CONC_PO2_ART","equivalent"
"2705-2","Oxygen [Partial pressure] in Venous blood","159804","MDC_CONC_PO2_VEN","equivalent"
"2708-6","Oxygen saturation in Arterial blood","150324","MDC_SAT_O2_ART","equivalent"
"2711-0","Oxygen saturation in Venous blood","150332","MDC_SAT_O2_VEN","equivalent"
"2744-1","pH of Arterial blood","159748","MDC_CONC_PH_ART","equivalent"
"2746-6","pH of Venous blood","159796","MDC_CONC_PH_VEN","equivalent"
"2747-4","pH of Cerebral spinal fluid","159976","MDC_CONC_PH_CSF","equivalent"
"2749-0","pH of Gastric fluid","160028","MDC_CONC_PH_GASTRIC","equivalent"
"2756-5","pH of Urine","159844","MDC_CONC_PH_URINE","equivalent"
"29463-7","Body weight","68063","MDC_ATTR_PT_WEIGHT","equivalent"
"2947-0","Sodium [Moles/volume] in Blood","160012","MDC_CONC_NA_GEN","equivalent"
"2951-2","Sodium [Moles/volume] in Serum or Plasma","159960","MDC_CONC_NA_SERUM","equivalent"
"2955-3","Sodium [Moles/volume] in Urine","159852","MDC_CONC_NA_URINE","equivalent"
"30313-1","Hemoglobin [Mass/volume] in Arterial blood","159764","MDC_CONC_HB_ART","broader"
"3137-7","Body height Measured","188740","MDC_LEN_BODY_ACTUAL","equivalent"
"3140-1","Body surface area Derived from formula","188744","MDC_AREA_BODY_SURF_ACTUAL","equivalent"
"3141-9","Body weight Measured","188736","MDC_MASS_BODY_ACTUAL","equivalent"
"3141-9","Body weight Measured","188792","MDC_ATTR_PT_WEIGHT_LAST","equivalent"
"32016-8","Glucose [Mass/volume] in Capillary blood","160184","MDC_CONC_GLU_CAPILLARY_WHOLEBLOOD","broader"
"32354-3","Hematocrit [Volume Fraction] of Arterial blood","160068","MDC_CONC_HCT_ART","equivalent"
"33022-5","Carbon dioxide [Partial pressure] in Capillary blood by Transcutaneous CO2 monitor","151756","MDC_CO2_TCUT","equivalent"
"33437-5","Oxygen [Partial pressure] in Capillary blood by Transcutaneous O2 monitor","151760","MDC_O2_TCUT","equivalent"
"33438-3","Breath rate mechanical --on ventilator","151586","MDC_VENT_RESP_RATE","equivalent"
"33445-8","Tube cuff pressure Intubation tube","153252","MDC_PRESS_ETT_CUFF","equivalent"
"33452-4","Maximum expiratory gas flow Respiratory system airway","151769","MDC_FLOW_AWAY_EXP_MAX","equivalent"
"34581-9","Calcium.ionized [Moles/volume] in Arterial blood","159792","MDC_CONC_CA_ART","broader"
"35410-0","Continuous positive airway pressure Respiratory system","151796","MDC_PRESS_AWAY_CTS_POS","equivalent"
"38199-6","Intrinsic PEEP Respiratory system","151808","MDC_PRESS_AWAY_END_EXP_POS_INTRINSIC","equivalent"
"39156-5","Body mass index (BMI) [Ratio]","188752","MDC_RATIO_MASS_BODY_LEN_SQ","equivalent"
"39480-9","Glucose [Moles/volume] in Venous blood","160192","MDC_CONC_GLU_VENOUS_WHOLEBLOOD","broader"
"39481-7","Glucose [Moles/volume] in Arterial blood","160200","MDC_CONC_GLU_ARTERIAL_WHOLEBLOOD","broader"
"41651-1","Glucose [Mass/volume] in Arterial blood","160200","MDC_CONC_GLU_ARTERIAL_WHOLEBLOOD","broader"
"41652-9","Glucose [Mass/volume] in Venous blood","160192","MDC_CONC_GLU_VENOUS_WHOLEBLOOD","broader"
"41982-0","Percentage of body fat Measured","188748","MDC_BODY_FAT","equivalent"
"4548-4","Hemoglobin A1c/Hemoglobin.total in Blood","160220","MDC_CONC_HBA1C","equivalent"
"50064-5","Ideal body weight","188796","MDC_MASS_BODY_EST_IBW","equivalent"
"50984-4","Horowitz index in Arterial blood","150656","MDC_O2_OXYGENATION_RATIO","equivalent"
"51596-5","Glucose [Moles/volume] in Capillary blood","160184","MDC_CONC_GLU_CAPILLARY_WHOLEBLOOD","broader"
"53138-4","Calcium.ionized [Moles/volume] adjusted to pH 7.4 in Arterial blood","160256","MDC_CONC_CA_PH_NORMALIZED_ART","equivalent"
"57656-1","Flow trigger setting Ventilator","16930020","MDC_VENT_FLOW_TRIG_SENS_SETTING","equivalent"
"59274-1","Oxygen content in Arterial blood by calculation","159768","MDC_CONC_HB_O2_ART","equivalent"
"59407-7","Oxygen saturation in Blood Preductal by Pulse oximetry","160296","MDC_PULS_OXIM_SAT_O2_ART_PREDUCTAL","equivalent"
"59408-5","Oxygen saturation in Arterial blood by Pulse oximetry","150456","MDC_PULS_OXIM_SAT_O2","equivalent"
"59418-4","Oxygen saturation in Blood Postductal by Pulse oximetry","160300","MDC_PULS_OXIM_SAT_O2_ART_POSTDUCTAL","equivalent"
"59470-5","Calcium.ionized [Mass/volume] in Arterial blood","159792","MDC_CONC_CA_ART","broader"
"60738-2","Intraluminal [Pressure] Esophagus","151820","MDC_PRESS_ESOPH","equivalent"
"60739-0","Expiration [Time] Respiratory system","152612","MDC_TIME_PD_EXP","equivalent"
"60740-8","Inspiration [Time] Respiratory system","152608","MDC_TIME_PD_INSP","equivalent"
"60741-6","Desflurane target [VFr/PPres] Airway adaptor --at end expiration","16929300","MDC_CONC_AWAY_DESFL_ET_SETTING","equivalent"
"60744-0","Gas delivery system inspiratory Desflurane setting [VFr/PPres]","16929416","MDC_CONC_GASDLV_DESFL_INSP_SETTING","equivalent"
"60746-5","Desflurane [VFr/PPres] Gas delivery system.expiratory limb --during expiration","152140","MDC_CONC_GASDLV_DESFL_EXP","equivalent"
"60747-3","Desflurane [VFr/PPres] Gas delivery system.inspiratory limb --during inspiration","152200","MDC_CONC_GASDLV_DESFL_INSP","equivalent"
"60748-1","Desflurane gas delivered during case [Volume] from Gas delivery system","152896","MDC_VOL_DELIV_DESFL_CASE","equivalent"
"60749-9","Target enflurane [VFr/PPres] Airway adaptor --at end expiration","16929304","MDC_CONC_AWAY_ENFL_ET_SETTING","equivalent"
"60752-3","Gas delivery system inspiratory Enflurane setting [VFr/PPres]","16929420","MDC_CONC_GASDLV_ENFL_INSP_SETTING","equivalent"
"60754-9","Enflurane [VFr/PPres] Gas delivery system.expiratory limb --during expiration","152144","MDC_CONC_GASDLV_ENFL_EXP","equivalent"
"60755-6","Enflurane gas delivered during case [Volume] from Gas delivery system","152912","MDC_VOL_DELIV_ENFL_CASE","equivalent"
"60756-4","Target halothane [VFr/PPres] Airway adaptor --at end expiration","16929308","MDC_CONC_AWAY_HALOTH_ET_SETTING","equivalent"
"60759-8","Gas delivery system inspiratory Halothane setting [VFr/PPres]","16929424","MDC_CONC_GASDLV_HALOTH_INSP_SETTING","equivalent"
"60761-4","Halothane [VFr/PPres] Gas delivery system.expiratory limb --during expiration","152148","MDC_CONC_GASDLV_HALOTH_EXP","equivalent"
"60762-2","Halothane gas delivered during case [Volume] from Gas delivery system","152928","MDC_VOL_DELIV_HALOTH_CASE","equivalent"
"60763-0","Target isoflurane [VFr/PPres] Airway adaptor --at end expiration","16929316","MDC_CONC_AWAY_ISOFL_ET_SETTING","equivalent"
"60766-3","Gas delivery system inspiratory Isoflurane setting [VFr/PPres]","16929432","MDC_CONC_GASDLV_ISOFL_INSP_SETTING","equivalent"
"60768-9","Isoflurane [VFr/PPres] Gas delivery system.expiratory limb --during expiration","152156","MDC_CONC_GASDLV_ISOFL_EXP","equivalent"
"60769-7","Isoflurane gas delivered during case [Volume] from Gas delivery system","152944","MDC_VOL_DELIV_ISOFL_CASE","equivalent"
"60775-4","Nitrous oxide gas delivered during case [Volume] from Gas delivery system","152960","MDC_VOL_DELIV_N2O_CASE","equivalent"
"60776-2","Target sevoflurane [VFr/PPres] Airway adaptor --at end expiration","16929312","MDC_CONC_AWAY_SEVOFL_ET_SETTING","equivalent"
"60779-6","Gas delivery system inspiratory Sevoflurane setting [VFr/PPres]","16929428","MDC_CONC_GASDLV_SEVOFL_INSP_SETTING","equivalent"
"60781-2","Sevoflurane [VFr/PPres] Gas delivery system","152064","MDC_CONC_GASDLV_SEVOFL","equivalent"
"60782-0","Sevoflurane gas delivered during case [Volume] from Gas delivery system","152976","MDC_VOL_DELIV_SEVOFL_CASE","equivalent"
"60789-5","Carbon dioxide gas delivered during case [Volume] from Gas delivery system","153032","MDC_VOL_DELIV_CO2_CASE","equivalent"
"60790-3","Carbon dioxide gas delivered.total [Volume] in Reporting period from Gas delivery system","153036","MDC_VOL_DELIV_CO2_TOTAL","equivalent"
"60791-1","Gas flow Respiratory system airway --on ventilator","151940","MDC_VENT_FLOW","equivalent"
"60792-9","Expiratory gas flow Respiratory system airway --on ventilator","151944","MDC_VENT_FLOW_EXP","equivalent"
"60793-7","Maximum expiratory gas flow Respiratory system airway --on ventilator","151945","MDC_VENT_FLOW_EXP_MAX","equivalent"
"60794-5","Inspiratory gas flow Respiratory system airway --on ventilator","151948","MDC_VENT_FLOW_INSP","equivalent"
"60795-2","Inspiratory gas flow.max Respiratory system airway --on ventilator","151949","MDC_VENT_FLOW_INSP_MAX","equivalent"
"60796-0","Target oxygen [VFr/PPres] Airway adaptor --at end expiration","16929656","MDC_CONC_AWAY_O2_ET_SETTING","equivalent"
"60799-4","Gas delivery system inspiratory Oxygen setting [VFr/PPres]","16930360","MDC_CONC_GASDLV_O2_INSP_SETTING","equivalent"
"60801-8","Trapped lung volume --at end expiration","151992","MDC_VENT_VOL_LUNG_TRAPD","equivalent"
"60802-6","Dynamic plateau pressure","152776","MDC_PRESS_RESP_PLAT_DYNAMIC","equivalent"
"60804-2","Minimum alveolar concentration (MAC) for anesthesia.XXX Anesthetic agent.XXX","152872","MDC_CONC_MAC","equivalent"
"60805-9","Desflurane [VFr/PPres] Airway adaptor --during inspiration","152168","MDC_CONC_AWAY_DESFL_INSP","equivalent"
"60807-5","Sevoflurane [VFr/PPres] Airway adaptor --during expiration","152124","MDC_CONC_AWAY_SEVOFL_EXP","equivalent"
"60808-3","Carbon dioxide [VFr/PPres] in Airway adaptor --at end expiration","151708","MDC_CONC_AWAY_CO2_ET","equivalent"
"60809-1","Carbon dioxide [VFr/PPres] in Airway adaptor --during expiration","151712","MDC_CONC_AWAY_CO2_EXP","equivalent"
"60812-5","Helium [VFr/PPres] Airway adaptor --at end expiration","153044","MDC_CONC_AWAY_HE_ET","equivalent"
"60813-3","Helium [VFr/PPres] Airway adaptor --during expiration","153048","MDC_CONC_AWAY_HE_EXP","equivalent"
"60815-8","Minimum alveolar concentration (MAC) sum Anesthetic agent.XXX+Nitrous oxide","152864","MDC_CONC_MAC_SUM","equivalent"
"60816-6","Minimum alveolar concentration (MAC) sum corrected for age Anesthetic agent.XXX+Nitrous oxide","152868","MDC_CONC_MAC_SUM_AGE_CORR","equivalent"
"60817-4","Gastric-arterial pCO2 gap","160308","MDC_CONC_PCO2_GASTRIC_ART_DIFF","equivalent"
"60818-2","Gastric-end tidal pCO2 gap","160312","MDC_CONC_PCO2_GASTRIC_ET_DIFF","equivalent"
"60819-0","Gastric mucosal pCO2","160316","MDC_CONC_PCO2_GASTRIC_MUCOSAL","equivalent"
"60821-6","Apnea duration","151856","MDC_TIME_PD_APNEA","equivalent"
"60822-4","Estimated pulmonary Shunt fraction","152840","MDC_BLD_SHUNT_FRACTION","equivalent"
"60823-2","Oxygen consumption (VO2)/Body surface area [Volume Rate/Area]","150664","MDC_SAT_O2_CONSUMP_INDEX","equivalent"
"60824-0","Oxygen delivery (VO2)/Body surface area [Volume Rate/Area]","150668","MDC_SAT_O2_DELIV_INDEX","equivalent"
"60825-7","Carbon dioxide production (VCO2) in Respiratory system","151776","MDC_FLOW_CO2_PROD_RESP","equivalent"
"60826-5","Lung compliance","151688","MDC_COMPL_LUNG","equivalent"
"60827-3","Dynamic lung compliance","151692","MDC_COMPL_LUNG_DYN","equivalent"
"60827-3","Dynamic lung compliance","152600","MDC_COMPL_LUNG_DYNAMIC","narrower"
"60828-1","Compliance.static Lung","151696","MDC_COMPL_LUNG_STATIC","equivalent"
"60829-9","Pressure.plateau Respiratory system airway","151784","MDC_PRESS_RESP_PLAT","equivalent"
"60830-7","Finger temperature","188432","MDC_TEMP_FINGER","equivalent"
"60832-3","Room temperature","188508","MDC_TEMP_ROOM","equivalent"
"60833-1","Toe temperature","188448","MDC_TEMP_TOE","equivalent"
"60834-9","Blood temperature","188436","MDC_TEMP_BLD","equivalent"
"60835-6","Arterial blood temperature","150352","MDC_TEMP_ART","equivalent"
"60836-4","Esophageal temperature","150372","MDC_TEMP_ESOPH","equivalent"
"60837-2","Injectate temperature","150376","MDC_TEMP_INJ","equivalent"
"60838-0","Nasopharyngeal temperature","150380","MDC_TEMP_NASOPH","equivalent"
"60839-8","Skin temperature --in microenvironment","150388","MDC_TEMP_SKIN","equivalent"
"60840-6","Base excess in Extracellular fluid by calculation","160216","MDC_BASE_EXCESS_FLUID_EXTRACELLULAR","equivalent"
"60841-4","Oxygen content in Venous blood by calculation","159816","MDC_CONC_HB_O2_VEN","equivalent"
"60842-2","Oxygen consumption (VO2)","150272","MDC_SAT_O2_CONSUMP","equivalent"
"60843-0","Mean dominant power frequency on EEG","153980","MDC_EEG_FREQ_PWR_SPEC_CRTX_DOM_MEAN","equivalent"
"60844-8","Median power frequency on EEG","153984","MDC_EEG_FREQ_PWR_SPEC_CRTX_MEDIAN","equivalent"
"60845-5","Peak power frequency on EEG","153988","MDC_EEG_FREQ_PWR_SPEC_CRTX_PEAK","equivalent"
"60846-3","Burst count Cerebral cortex Electroencephalogram (EEG)","156241","MDC_EEG_PAROX_CRTX_BURST_CNT","equivalent"
"60847-1","Seizure count Cerebral cortex Electroencephalogram (EEG)","154032","MDC_EEG_NUM_SEIZ","equivalent"
"60848-9","Alpha frequency relative power on EEG","154068","MDC_EEG_PWR_SPEC_ALPHA_REL","equivalent"
"60849-7","Beta frequency relative power on EEG","154072","MDC_EEG_PWR_SPEC_BETA_REL","equivalent"
"60850-5","Delta frequency relative power on EEG","154076","MDC_EEG_PWR_SPEC_DELTA_REL","equivalent"
"60851-3","Theta frequency relative power on EEG","154080","MDC_EEG_PWR_SPEC_THETA_REL","equivalent"
"60852-1","Electrical potential Muscle on EMG","153640","MDC_EMG_ELEC_POTL_MUSCL","equivalent"
"60853-9","Desflurane [VFr/PPres] Gas delivery system","152052","MDC_CONC_GASDLV_DESFL","equivalent"
"60854-7","Enflurane [VFr/PPres] Gas delivery system","152056","MDC_CONC_GASDLV_ENFL","equivalent"
"60855-4","Enflurane [VFr/PPres] Gas delivery system.inspiratory limb --during inspiration","152204","MDC_CONC_GASDLV_ENFL_INSP","equivalent"
"60856-2","Halothane [VFr/PPres] Gas delivery system","152060","MDC_CONC_GASDLV_HALOTH","equivalent"
"60857-0","Halothane [VFr/PPres] Gas delivery system.inspiratory limb --during inspiration","152208","MDC_CONC_GASDLV_HALOTH_INSP","equivalent"
"60858-8","Isoflurane [VFr/PPres] Gas delivery system","152068","MDC_CONC_GASDLV_ISOFL","equivalent"
"60859-6","Isoflurane [VFr/PPres] Gas delivery system.inspiratory limb --during inspiration","152216","MDC_CONC_GASDLV_ISOFL_INSP","equivalent"
"60860-4","Nitrous oxide [VFr/PPres] Gas delivery system","152076","MDC_CONC_GASDLV_N2O","equivalent"
"60861-2","Nitrous oxide [VFr/PPres] Gas delivery system.expiratory limb --during expiration","152164","MDC_CONC_GASDLV_N2O_EXP","equivalent"
"60862-0","Nitrous oxide [VFr/PPres] Gas delivery system.inspiratory limb --during inspiration","152224","MDC_CONC_GASDLV_N2O_INSP","equivalent"
"60863-8","Sevoflurane [VFr/PPres] Airway adaptor","152036","MDC_CONC_AWAY_SEVOFL","equivalent"
"60864-6","Sevoflurane [VFr/PPres] Gas delivery system.inspiratory limb --during inspiration","152212","MDC_CONC_GASDLV_SEVOFL_INSP","equivalent"
"60866-1","Oxygen [VFr/PPres] Airway adaptor","151908","MDC_CONC_AWAY_O2","equivalent"
"60867-9","Oxygen [VFr/PPres] Airway adaptor --during expiration","153132","MDC_CONC_AWAY_O2_EXP","equivalent"
"60869-5","Physiological dead space [Volume] Respiratory system --on ventilator","151984","MDC_VENT_VOL_AWAY_DEADSP","equivalent"
"60870-3","Physiological dead space/Tidal volume Respiratory system --on ventilator","151988","MDC_VENT_VOL_AWAY_DEADSP_REL","equivalent"
"60873-7","Anesthetic agent.XXX Airway adaptor --at end expiration","152460","MDC_CONC_AWAY_AGENT_ET","equivalent"
"60874-5","Anesthetic agent.XXX Airway adaptor --during inspiration","152464","MDC_CONC_AWAY_AGENT_INSP","equivalent"
"60876-0","Desflurane [VFr/PPres] Airway adaptor","152024","MDC_CONC_AWAY_DESFL","equivalent"
"60877-8","Desflurane [VFr/PPres] Airway adaptor --at end expiration","152084","MDC_CONC_AWAY_DESFL_ET","equivalent"
"60884-4","Enflurane [VFr/PPres] Airway adaptor --at end expiration","152088","MDC_CONC_AWAY_ENFL_ET","equivalent"
"60885-1","Enflurane [VFr/PPres] Airway adaptor --during inspiration","152172","MDC_CONC_AWAY_ENFL_INSP","equivalent"
"60889-3","Halothane [VFr/PPres] Airway adaptor --at end expiration","152092","MDC_CONC_AWAY_HALOTH_ET","equivalent"
"60895-0","Isoflurane [VFr/PPres] Airway adaptor --at end expiration","152100","MDC_CONC_AWAY_ISOFL_ET","equivalent"
"60901-6","Nitrous oxide [VFr/PPres] Airway adaptor --at end expiration","152108","MDC_CONC_AWAY_N2O_ET","equivalent"
"60907-3","Sevoflurane [VFr/PPres] Airway adaptor --during inspiration","152180","MDC_CONC_AWAY_SEVOFL_INSP","equivalent"
"60908-1","Sevoflurane [VFr/PPres] Airway adaptor --at end expiration","152096","MDC_CONC_AWAY_SEVOFL_ET","equivalent"
"60914-9","Argon [VFr/PPres] Airway adaptor","152992","MDC_CONC_AWAY_AR","equivalent"
"60915-6","Argon [VFr/PPres] Airway adaptor --during expiration","153000","MDC_CONC_AWAY_AR_EXP","equivalent"
"60916-4","Argon [VFr/PPres] Airway adaptor --during inspiration","153004","MDC_CONC_AWAY_AR_INSP","equivalent"
"60918-0","Argon [VFr/PPres] Airway adaptor --at end expiration","152996","MDC_CONC_AWAY_AR_ET","equivalent"
"60919-8","Nitrogen [VFr/PPres] Airway adaptor","152444","MDC_CONC_AWAY_N2","equivalent"
"60920-6","Nitrogen [VFr/PPres] Airway adaptor --at end expiration","152448","MDC_CONC_AWAY_N2_ET","equivalent"
"60921-4","Nitrogen [VFr/PPres] Airway adaptor --during inspiration","152452","MDC_CONC_AWAY_N2_INSP","equivalent"
"60924-8","Carbon dioxide [VFr/PPres] in Airway adaptor --during inspiration","151716","MDC_CONC_AWAY_CO2_INSP","equivalent"
"60926-3","Carbon dioxide [VFr/PPres] in Airway adaptor","151700","MDC_CONC_AWAY_CO2","equivalent"
"60932-1","Helium [VFr/PPres] Airway adaptor","153040","MDC_CONC_AWAY_HE","equivalent"
"60934-7","Helium [VFr/PPres] Airway adaptor --during inspiration","153052","MDC_CONC_AWAY_HE_INSP","equivalent"
"60935-4","Nitrogen [VFr/PPres] Airway adaptor --during expiration","153076","MDC_CONC_AWAY_N2_EXP","equivalent"
"60939-6","Nitrous oxide [VFr/PPres] Airway adaptor --during expiration","152136","MDC_CONC_AWAY_N2O_EXP","equivalent"
"60943-8","Oxygen [VFr/PPres] Airway adaptor --at end expiration","152440","MDC_CONC_AWAY_O2_ET","equivalent"
"60948-7","Peak inspiratory flow Respiratory system airway","151773","MDC_FLOW_AWAY_INSP_MAX","equivalent"
"60949-5","Mean airway pressure","151795","MDC_PRESS_AWAY_MEAN","equivalent"
"60951-1","Pressure max Respiratory system airway --during inspiration","151817","MDC_PRESS_AWAY_INSP_MAX","equivalent"
"60952-9","Mean airway pressure --during inspiration","151819","MDC_PRESS_AWAY_INSP_MEAN","equivalent"
"60955-2","Airway temperature","150356","MDC_TEMP_AWAY","equivalent"
"60956-0","Intracranial pressure (ICP)","153608","MDC_PRESS_INTRA_CRAN","equivalent"
"60957-8","Intracranial pressure (ICP) Diastolic","153610","MDC_PRESS_INTRA_CRAN_DIA","equivalent"
"60958-6","Intracranial pressure (ICP) Mean","153611","MDC_PRESS_INTRA_CRAN_MEAN","equivalent"
